,_id,review,translations,score,university,course,upvotes,downvotes,date,courseName,courseNameShort,translation
11,5a5ef8e3be6796001a9d819f,Worst course ever! In the book they explain you what 1+1 is and in the exercises they want you to calculate the mass of the Earth starting from the speed of light! And nobody explains you anything!,"Im Buch erklären sie euch, was 1+1 ist und in den Übungen wollen sie, dass ihr die Masse der Erde berechnet, ausgehend von der Lichtgeschwindigkeit! Und niemand erklärt euch etwas!",1,UZH,50795623,28.0,5.0,1548188821748,BIO 134 Programming in Biology,Programming in Biology,"Im Buch erklären sie euch, was 1+1 ist und in den Übungen wollen sie, dass ihr die Masse der Erde berechnet, ausgehend von der Lichtgeschwindigkeit! Und niemand erklärt euch etwas!"
12,5a5ef9d3be6796001a9d81cd,I suggest to avoid the lessons and read the slides on your own a week before the exam. You save time and force yourself to work through the pain on your own. This is much more valuable than sitting in a room with someone reading something you can read on your own. ,"Ich schlage vor, die Lektionen zu vermeiden und die Dias auf eigene Faust eine Woche vor der Prüfung zu lesen. Sie sparen Zeit und zwingen sich, allein durch den Schmerz zu arbeiten. Dies ist viel wertvoller als in einem Raum mit jemandem zu sitzen, der etwas liest, das Sie selbst lesen können.",1,UZH,50500400,1.0,1.0,1579709254895,Fundamental Probability for Finance (I+II) (L),Fundamental Probability for Finance,"Ich schlage vor, die Lektionen zu vermeiden und die Dias auf eigene Faust eine Woche vor der Prüfung zu lesen. Sie sparen Zeit und zwingen sich, allein durch den Schmerz zu arbeiten. Dies ist viel wertvoller als in einem Raum mit jemandem zu sitzen, der etwas liest, das Sie selbst lesen können."
13,5a5efe49be6796001a9d8359,"Course/teacher are interesting. But, way to much work for 3ects. He states that you need to read a book of 800 pages, next to the already long slides which he thinks are insufficient. ","Kurs/Lehrer sind interessant. Aber, Weg zu viel Arbeit für 3ects. Er sagt, dass Sie ein Buch von 800 Seiten lesen müssen, neben den bereits langen Dias, die er für unzureichend hält.",2,UZH,50637560,4.0,1.0,1546442708478,International Management (L),International Management,"Kurs/Lehrer sind interessant. Aber, Weg zu viel Arbeit für 3ects. Er sagt, dass Sie ein Buch von 800 Seiten lesen müssen, neben den bereits langen Dias, die er für unzureichend hält."
14,5a5efea7be6796001a9d8394,"Interesting content and good exercises, but the final exam only tests your ability to quickly understand a given task and NOT your coding knowledge. ","Interessante Inhalte und gute Übungen, aber die Abschlussprüfung testet nur Ihre Fähigkeit, schnell eine bestimmte Aufgabe zu verstehen und NICHT Ihre Programmierkenntnisse.",2,UZH,50791765,1.0,1.0,1610443026028,Informatik I (V+Ü) (Informatics I),Informatik I,"Interessante Inhalte und gute Übungen, aber die Abschlussprüfung testet nur Ihre Fähigkeit, schnell eine bestimmte Aufgabe zu verstehen und NICHT Ihre Programmierkenntnisse."
15,5a5f04aebe6796001a9d8665,"I loved the topic and the lectures were fine. The exam however was a catastrophe, way too difficult and had little to do with the exercises and mock exams. (Prof Ayoub)","Ich liebte das Thema und die Vorlesungen waren in Ordnung. Die Prüfung war jedoch eine Katastrophe, viel zu schwierig und hatte wenig mit den Übungen und Scheinprüfungen zu tun. (Prof. Ayoub)",1,UZH,50450286,1.0,0.0,1645214071787,MAT 211 Algebra,Algebra,"Ich liebte das Thema und die Vorlesungen waren in Ordnung. Die Prüfung war jedoch eine Katastrophe, viel zu schwierig und hatte wenig mit den Übungen und Scheinprüfungen zu tun. (Prof. Ayoub)"
16,5a5f1353be6796001a9d8d6e,The lessons are useless but the project is really interesting. Hard work by yourself ,"Die Lektionen sind nutzlos, aber das Projekt ist wirklich interessant.",3,UZH,50791596,1.0,0.0,1516180371642,Big Data and Business Analytics,Big Data and Business Analytics,"Die Lektionen sind nutzlos, aber das Projekt ist wirklich interessant."
18,5a5f3045be6796001a9d9c18,Credithunter approved 👍🏽,Kredithunter genehmigt . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,5,UZH,50799723,1.0,0.0,1591183131151,Interaktive Marketingkommunikation (VU) (Interactive Marketing Communication),Interaktive Marketingkommunikation,Kredithunter genehmigt . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
19,5a5f32bebe6796001a9d9d8f,Interesting contents but badly taught for someone who never had an introduction to corporate finance.,"Interessante Inhalte, aber schlecht gelehrt für jemanden, der nie eine Einführung in die Unternehmensfinanzierung hatte.",3,UZH,50458581,2.0,0.0,1549460576315,Corporate Finance (L),Corporate Finance,"Interessante Inhalte, aber schlecht gelehrt für jemanden, der nie eine Einführung in die Unternehmensfinanzierung hatte."
20,5a5f32c5be6796001a9d9d96,"TA Jordy is a smart guy, but is completely unable to teach unfortunately. He is responsible for the exercises, and that’s a pity","TA Jordy ist ein kluger Kerl, aber ist völlig nicht in der Lage zu lehren, leider. Er ist verantwortlich für die Übungen, und das ist schade",2,UZH,50846819,3.0,0.0,1602749088500,Financial Engineering (L+E),Financial Engineering,"TA Jordy ist ein kluger Kerl, aber ist völlig nicht in der Lage zu lehren, leider. Er ist verantwortlich für die Übungen, und das ist schade"
22,5a5f3ccdbe6796001a9da14e,"Interesting and relevant course topics, however the lectures were unfortunately quite dry and the majority of the TAs were either unprepared or unmotivated. Still learned a lot and the exam was fair.","Interessante und relevante Kursthemen, aber die Vorträge waren leider recht trocken und die Mehrzahl der TAs waren entweder unvorbereitet oder unmotiviert. Noch viel gelernt und die Prüfung war fair.",3,UZH,50840773,2.0,0.0,1644400462439,Computer Networks and Distributed Systems (L+E) (Kommunikationsnetze und Verteilte Systeme),Computer Networks and Distributed Systems,"Interessante und relevante Kursthemen, aber die Vorträge waren leider recht trocken und die Mehrzahl der TAs waren entweder unvorbereitet oder unmotiviert. Noch viel gelernt und die Prüfung war fair."
23,5a5f3f34be6796001a9da231,the ta sessions are very nice. I think the professors try to address too much empirical evidence and the content is too much ,"die ta-Sitzungen sind sehr nett. Ich denke, die Professoren versuchen, zu viel empirische Beweise zu adressieren und der Inhalt ist zu viel",4,UZH,50826915,1.0,0.0,1655494928376,Advanced Banking (L),Advanced Banking,"die ta-Sitzungen sind sehr nett. Ich denke, die Professoren versuchen, zu viel empirische Beweise zu adressieren und der Inhalt ist zu viel"
24,5a5f3f5abe6796001a9da245,"Useless, bad explained and assistant incompetent.","Nutzlos, schlecht erklärt und Assistent inkompetent.",1,UZH,50370124,0.0,0.0,1516191674919,Exercises for Advanced Financial Economics,Exercises for Advanced Financial Economics,"Nutzlos, schlecht erklärt und Assistent inkompetent."
25,5a5f3fd2be6796001a9da280,Easy topics but an incredible unfair exam in Fall 2017,"Einfache Themen, aber eine unglaubliche unfaire Prüfung im Herbst 2017",3,UZH,50771995,1.0,0.0,1516191805540,The Economics of Individual Decision Making (L+E),The Economics of Individual Decision Making,"Einfache Themen, aber eine unglaubliche unfaire Prüfung im Herbst 2017"
26,5a5f3fdabe6796001a9da283,"Terrible. 80% of the syllabus was covered in the corporate finance course I’ve had in the bachelor. Lectures were easy to follow even though a bit boring, teacher is quite slow. Problem sets relatively easy and straighforward to solve. Exam: disaster. Great part of it haven’t been covered and it seems like passing was a matter of pure luck in choosing between the nonsense answers to impossible questions.","Schrecklich. 80% des Lehrplans wurde im Corporate Finance-Kurs I.ve hatte im Bachelor abgedeckt. Vorlesungen waren leicht zu folgen, obwohl ein bisschen langweilig, Lehrer ist ziemlich langsam. Problem-Sets relativ einfach und Straigforward zu lösen. Exam: Desaster. Ein großer Teil davon wurde abgedeckt und es scheint, als ob das Vergehen war eine Frage des puren Glücks in der Wahl zwischen den Unsinn Antworten auf unmögliche Fragen.",1,UZH,50790321,1.0,0.0,1652732895263,Advanced Corporate Finance I (L+E),Advanced Corporate Finance I,"Schrecklich. 80% des Lehrplans wurde im Corporate Finance-Kurs I.ve hatte im Bachelor abgedeckt. Vorlesungen waren leicht zu folgen, obwohl ein bisschen langweilig, Lehrer ist ziemlich langsam. Problem-Sets relativ einfach und Straigforward zu lösen. Exam: Desaster. Ein großer Teil davon wurde abgedeckt und es scheint, als ob das Vergehen war eine Frage des puren Glücks in der Wahl zwischen den Unsinn Antworten auf unmögliche Fragen."
27,5a5f4004be6796001a9da2a1,Too much work for 3 ECTS but else a top notch class for the miserable Masters at the UZH,"Zu viel Arbeit für 3 ECTS, aber auch eine Spitzenklasse für die elenden Masters an der UZH",4,UZH,50526110,1.0,0.0,1546968231336,"Takeovers, Restructuring, and Corporate Governance (S)","Takeovers, Restructuring, and Corporate Governance","Zu viel Arbeit für 3 ECTS, aber auch eine Spitzenklasse für die elenden Masters an der UZH"
28,5a5f404ebe6796001a9da2d5,This course is just a brief introduction of how a master in mathematics at ETH would look like. Otherwise it’s completely useless and it’s not at all related to the bachelor course „Asset Pricing“,"Dieser Kurs ist nur eine kurze Einführung, wie ein Master in Mathematik an der ETH aussehen würde. Ansonsten ist er völlig nutzlos und es steht überhaupt nicht im Zusammenhang mit dem Bachelor-Studiengang „Asset Pricing"".",1,UZH,50820337,0.0,1.0,1657206471510,Quantitative Finance (L+E),Quantitative Finance,"Dieser Kurs ist nur eine kurze Einführung, wie ein Master in Mathematik an der ETH aussehen würde. Ansonsten ist er völlig nutzlos und es steht überhaupt nicht im Zusammenhang mit dem Bachelor-Studiengang „Asset Pricing""."
29,5a5f405cbe6796001a9da2e1,"excellent structure of content and teaching. But this year's exam is not fair enough. The lecturer said you should do the reading while also getting familiar with the exercises if you wanna get higher than 5.5. But it turns out there's nothing about reading in the exam. It's just like advanced macro, namely lots of exercise level problems, with a couple of miscalculations you lose the opportunity of 5.5+. I spent many hours reading those papers, which didnt pay off.","ausgezeichnete Struktur von Inhalt und Unterricht. Aber die diesjährige Prüfung ist nicht fair genug. Der Dozent sagte, dass Sie das Lesen tun sollten, während Sie auch mit den Übungen vertraut machen, wenn Sie höher als 5.5. Aber es stellt sich heraus, dass es nichts über das Lesen in der Prüfung. Es ist genau wie fortgeschrittene Makro, nämlich viele Übungslevel-Probleme, mit ein paar Fehlberechnungen verlieren Sie die Möglichkeit von 5.5+. Ich verbrachte viele Stunden mit dem Lesen dieser Papiere, die nicht zahlten.",4,UZH,50368922,1.0,0.0,1645866258939,Advanced Microeconomics I (L+E),Advanced Microeconomics I,"ausgezeichnete Struktur von Inhalt und Unterricht. Aber die diesjährige Prüfung ist nicht fair genug. Der Dozent sagte, dass Sie das Lesen tun sollten, während Sie auch mit den Übungen vertraut machen, wenn Sie höher als 5.5. Aber es stellt sich heraus, dass es nichts über das Lesen in der Prüfung. Es ist genau wie fortgeschrittene Makro, nämlich viele Übungslevel-Probleme, mit ein paar Fehlberechnungen verlieren Sie die Möglichkeit von 5.5+. Ich verbrachte viele Stunden mit dem Lesen dieser Papiere, die nicht zahlten."
30,5a5f4063be6796001a9da2e2,Best professor in UZH,Beste Professorin in der UZH,5,UZH,50377285,2.0,0.0,1643975111220,Empirical Methods (L+E),Empirical Methods,Beste Professorin in der UZH
31,5a5f40a1be6796001a9da2f2,"Useless. Content of Bachelor level statistics. After asking if measure theory is covered in this course, DK just laughed. + lecture all over the place, no structure at all. Attitude ""it's just econ course, you don't learn a lot anyway""","Nutzlos. Inhalt der Bachelor-Niveau-Statistik. Nach der Frage, ob die Messtheorie in diesem Kurs abgedeckt ist, lachte DK einfach. + Vortrag über den ganzen Ort, keine Struktur überhaupt. Haltung ""es ist nur Econ-Kurs, man lernt sowieso nicht viel""",1,UZH,50524378,0.0,2.0,1624553032985,Advanced Statistics (L+E),Advanced Statistics,"Nutzlos. Inhalt der Bachelor-Niveau-Statistik. Nach der Frage, ob die Messtheorie in diesem Kurs abgedeckt ist, lachte DK einfach. + Vortrag über den ganzen Ort, keine Struktur überhaupt. Haltung ""es ist nur Econ-Kurs, man lernt sowieso nicht viel"""
32,5a5f40bebe6796001a9da2fb,"Fair exam, right amount of content for 3 credits. Overall well done and interesting, but the prof could try to be more enthusiastic.","Faire Prüfung, richtige Menge an Inhalten für 3 Credits. Insgesamt gut gemacht und interessant, aber der Profi könnte versuchen, begeisterter zu sein.",5,UZH,50575326,2.0,0.0,1611163473010,Principles of Neuroeconomics (L),Principles of Neuroeconomics,"Faire Prüfung, richtige Menge an Inhalten für 3 Credits. Insgesamt gut gemacht und interessant, aber der Profi könnte versuchen, begeisterter zu sein."
33,5a5f40d9be6796001a9da309,"Interesting lecture, trash exam","Interessante Vorlesung, Trash-Prüfung",3,UZH,50525646,1.0,0.0,1655824954227,Real Estate Finance (L),Real Estate Finance,"Interessante Vorlesung, Trash-Prüfung"
34,5a5f493cbe6796001a9da5c0,The exam is so long you’ll have to write like crazy ,"Die Prüfung ist so lang, dass du wie verrückt schreiben musst",3,UZH,50620657,1.0,0.0,1517484047849,The Economics of Sports: Governance and Markets (L),The Economics of Sports,"Die Prüfung ist so lang, dass du wie verrückt schreiben musst"
35,5a5f49e1be6796001a9da5f5,Not that difficult and didn’t learn that much. Just did it because of the pot which needed to be fulfilled.,"Nicht so schwierig und nicht so viel gelernt. Nur tat es wegen des Topfes, der erfüllt werden musste.",3,UZH,50499924,0.0,0.0,1516194339045,Praktikum Datenbanksysteme BSc (Database Systems Lab BSc),Praktikum Datenbanksysteme BSc,"Nicht so schwierig und nicht so viel gelernt. Nur tat es wegen des Topfes, der erfüllt werden musste."
36,5a5f5111be6796001a9da8b1,"Even though the exam is hard, the amount of work required for 6 credits is fair. The course is well organized, you are regularly informed about everything and the forum is also well taken care of. The content is generally important but it can get a bit overwhelming since you touch on many different fields of databases. Solve the exercises, exams and you should be fine :)","Auch wenn die Prüfung hart ist, ist die Menge an Arbeit für 6 Credits erforderlich ist fair. Der Kurs ist gut organisiert, Sie werden regelmäßig über alles informiert und das Forum ist auch gut betreut. Der Inhalt ist in der Regel wichtig, aber es kann ein wenig überwältigend, da Sie auf viele verschiedene Bereiche der Datenbanken berühren. Lösen Sie die Übungen, Prüfungen und Sie sollten in Ordnung sein :)",4,UZH,50308551,1.0,0.0,1657001526784,Database Systems (L+E) (Datenbanksysteme),Database Systems,"Auch wenn die Prüfung hart ist, ist die Menge an Arbeit für 6 Credits erforderlich ist fair. Der Kurs ist gut organisiert, Sie werden regelmäßig über alles informiert und das Forum ist auch gut betreut. Der Inhalt ist in der Regel wichtig, aber es kann ein wenig überwältigend, da Sie auf viele verschiedene Bereiche der Datenbanken berühren. Lösen Sie die Übungen, Prüfungen und Sie sollten in Ordnung sein :)"
37,5a5f54efbe6796001a9daa3d,"A bland, incomplete and dumbed down version of advanced Microeconomics I + II for business students","Eine fade, unvollständige und gedämpfte Version der fortgeschrittenen Mikroökonomie I + II für Business-Studenten",1,UZH,50370132,0.0,1.0,1654847544628,Fortgeschrittene Mikroökonomik für die BWL (V+Ü) (Advanced Microeconomics for Business Administration),Fortgeschrittene Mikroökonomik für die BWL,"Eine fade, unvollständige und gedämpfte Version der fortgeschrittenen Mikroökonomie I + II für Business-Studenten"
38,5a5f5659be6796001a9daabf,"Happy plants, happy place ! The script from Keller is very interesting !!!","Glückliche Pflanzen, glücklicher Ort! Das Drehbuch von Keller ist sehr interessant !!!",4,UZH,50795622,1.0,0.0,1644789786589,BIO 131 Form and Function of Plants,Form and Function of Plants,"Glückliche Pflanzen, glücklicher Ort! Das Drehbuch von Keller ist sehr interessant !!!"
39,5a5f5a2cbe6796001a9dac7f,This is the first piece of shit from BWL Trio!,Das ist das erste Stück Scheiße von BWL Trio!,1,UZH,50038000,16.0,1.0,1537552796028,Betriebswirtschaftslehre I (V + Ü) (Business Administration I),Betriebswirtschaftslehre I,Das ist das erste Stück Scheiße von BWL Trio!
40,5a5f5b4cbe6796001a9daccf,Loved the lectures! Studied quite a bit for the exam. ,Ich liebte die Vorlesungen! Ich habe ein bisschen für die Prüfung studiert.,5,UZH,50028970,0.0,0.0,1545811481859,BIO 215 The evolution of human nature,The evolution of human nature,Ich liebte die Vorlesungen! Ich habe ein bisschen für die Prüfung studiert.
41,5a5f6073be6796001a9daed2,Why 2 stars can be given？If 0 star is allowed，I will give the 0！！！,"Warum 2 Sterne gegeben werden können?Wenn 0 Sterne erlaubt ist, gebe ich die 0!!!",1,UZH,50019334,1.0,0.0,1642715051919,Information Management (L+E),Information Management,"Warum 2 Sterne gegeben werden können?Wenn 0 Sterne erlaubt ist, gebe ich die 0!!!"
42,5a5f623bbe6796001a9daf2f,"very interesting topic, but as many stated before me, the exam was just utter bs. Did not test relevant knowledge but rather randomly chosen details from the lecture.  Chesney is a good guy I think with very interesting views on the modern financial system. The other guy is a complete dick.","sehr interessantes Thema, aber wie viele vor mir erklärten, war die Prüfung nur sehr bs. Testte nicht relevantes Wissen, sondern eher zufällig ausgewählte Details aus dem Vortrag. Chesney ist ein guter Kerl, den ich mit sehr interessanten Ansichten über das moderne Finanzsystem denke. Der andere Kerl ist ein kompletter Schwanz.",1,UZH,50804894,6.0,0.0,1548263965735,Environmental and financial sustainability (L),Environmental and financial sustainability,"sehr interessantes Thema, aber wie viele vor mir erklärten, war die Prüfung nur sehr bs. Testte nicht relevantes Wissen, sondern eher zufällig ausgewählte Details aus dem Vortrag. Chesney ist ein guter Kerl, den ich mit sehr interessanten Ansichten über das moderne Finanzsystem denke. Der andere Kerl ist ein kompletter Schwanz."
43,5a5f6244be6796001a9daf34,Just learn the exercises good and hurry at the exam. Easy to pass and sort of interessting. Tipp: Start at the last part of the exam and time wont be a problem.,Lernen Sie einfach die Übungen gut und beeilen Sie sich bei der Prüfung. Leicht zu bestehen und irgendwie interessant. Tipp: Beginnen Sie mit dem letzten Teil der Prüfung und die Zeit wird kein Problem sein.,5,UZH,50368750,1.0,0.0,1579621509285,ME4: Accounting and Economics (L+E),Accounting and Economics,Lernen Sie einfach die Übungen gut und beeilen Sie sich bei der Prüfung. Leicht zu bestehen und irgendwie interessant. Tipp: Beginnen Sie mit dem letzten Teil der Prüfung und die Zeit wird kein Problem sein.
44,5a5f686dbe6796001a9db14c,"very nice concept of inviting people from different backgrounds, a bit boring lectures nevertheless, fair exam","sehr schönes Konzept der Einladung von Menschen aus verschiedenen Hintergründen, ein bisschen langweilige Vorträge trotzdem, faire Prüfung",4,UZH,50575640,3.0,0.0,1516202213851,Economic Crimes & Corporate Resilience (L),Economic Crimes & Corporate Resilience,"sehr schönes Konzept der Einladung von Menschen aus verschiedenen Hintergründen, ein bisschen langweilige Vorträge trotzdem, faire Prüfung"
45,5a5f7119be6796001a9db4a2,"Only take this course if you have to and prepare to suffer. The lecture content is quiet interesting, but difficult to follow: the structure should be improved, prof jumps from one topic to another and returns to the first. Problem sets are brought from hell and 6 problem sets are absolutely too much. Empirics are okay but require memorization which is useless for your development or knowledge. The overall amount of material is crazy. Worst course I’ve ever had at UZH. 30% this year just didn’t pass. ","Der Lehrinhalt ist ruhig interessant, aber schwer zu folgen: die Struktur sollte verbessert werden, prof springt von einem Thema zum anderen und kehrt zum ersten zurück. Problem-Sets werden aus der Hölle gebracht und 6 Problem-Sets sind absolut zu viel. Empirics sind okay, aber erfordern Memorization, die für Ihre Entwicklung oder Wissen nutzlos ist. Die gesamte Menge an Material ist verrückt. Schlimmster Kurs, den ich jemals bei UZH hatte. 30% in diesem Jahr einfach nicht bestanden.",2,UZH,50394348,1.0,0.0,1657097521762,ME2: The Economics of Innovation (L+E),The Economics of Innovation,"Der Lehrinhalt ist ruhig interessant, aber schwer zu folgen: die Struktur sollte verbessert werden, prof springt von einem Thema zum anderen und kehrt zum ersten zurück. Problem-Sets werden aus der Hölle gebracht und 6 Problem-Sets sind absolut zu viel. Empirics sind okay, aber erfordern Memorization, die für Ihre Entwicklung oder Wissen nutzlos ist. Die gesamte Menge an Material ist verrückt. Schlimmster Kurs, den ich jemals bei UZH hatte. 30% in diesem Jahr einfach nicht bestanden."
46,5a5f753bbe6796001a9db619,Very poor professor,Sehr armer Professor,1,UZH,50450169,0.0,1.0,1642593731111,Advanced Macroeconomics (L+E),Advanced Macroeconomics,Sehr armer Professor
47,5a5f860d3833be001a35a411,"Prof Moore is a brilliant lecturer, class was very intrresting.","Prof Moore ist ein brillanter Dozent, die Klasse war sehr intreresting.",5,UZH,50451568,3.0,0.0,1551391802333,AST 201 Introduction to Astrobiology,Introduction to Astrobiology,"Prof Moore ist ein brillanter Dozent, die Klasse war sehr intreresting."
48,5a5fc6708633bf001ac91173,"Freaky teacher, good structure.","Freaky Lehrer, gute Struktur.",4,UZH,50026110,5.0,5.0,1516226223004,MAT 182 Analysis for Natural Sciences,Analysis for Natural Sciences,"Freaky Lehrer, gute Struktur."
49,5a5fc80c8633bf001ac911d6,Best structured subject ever!!!,Bestes strukturiertes Thema überhaupt!!!,5,UZH,50742524,20.0,0.0,1518359575235,BIO 111 Molecular and Classical Genetics,Molecular and Classical Genetics,Bestes strukturiertes Thema überhaupt!!!
50,5a5fc93e8633bf001ac91226,"More a campaign for different labs than a lecture, but well... for research sake^^","Mehr eine Kampagne für andere Labore als eine Vorlesung, aber gut... um der Forschung willen^^",2,UZH,50773478,9.0,1.0,1516227186107,BIO 123 Quantitative and Molecular Systems Biology,Quantitative and Molecular Systems Biology,"Mehr eine Kampagne für andere Labore als eine Vorlesung, aber gut... um der Forschung willen^^"
51,5a5fc9e88633bf001ac9125c,Arpat is the kindest person in existence ❤️,Arpat ist die freundlichste Person in Existenz,5,UZH,50833144,1.0,0.0,1657708172122,BIO 141 Ecology and Biodiversity,Ecology and Biodiversity,Arpat ist die freundlichste Person in Existenz
52,5a60383de9399e001ac51a25,One professor was reading the whole text instead of explaining,"Ein Professor las den ganzen Text, anstatt zu erklären,",2,UZH,50048767,0.0,1.0,1516473928164,BCH 301 Molecular cell biology,Molecular cell biology,"Ein Professor las den ganzen Text, anstatt zu erklären,"
53,5a604836e9399e001ac51c2a,Not necessairy to give ects for this. Better include in lecture,"Nicht notwendig, um Ects dafür zu geben.",1,UZH,50458265,4.0,10.0,1518481185817,BCH 211 Exercise tutorial Biochemistry,Exercise tutorial Biochemistry,"Nicht notwendig, um Ects dafür zu geben."
