,_id,review,score,upvotes,downvotes,sum
981,5b0e6b74b77021001a20339b,Sehr spannend und leicht eine gute Note zu erreichen. Jedoch basiert der Kurs auf etwas veralteten Grundlagen. Trotzdem sehr zu empfehlen.,4,1.0,0.0,1
1654,5f01862a147f70002264b208,"Die profs waren überhaupt nicht unterstützend. Es war unklar, was von uns erwartet wurde & Sie müssen ziemlich vertraut sein mit R. Würden es nicht empfehlen.",2,0.0,0.0,0
3022,5d00941c8aa9a0001ce28af0,"Atmo Teil spannend und mit super Dozent! Hydro eher langwilig, zweisprachig und viel berechnige. Prüefig isch aber fair, wichtig sind d’Hydrorechnige guet lerne! ",3,0.0,0.0,0
688,5a7c5dded0f7e3001a252301,"Die Prüfung wurde x-Mal unterbrochen und das Niveau der Prüfung war um einiges schwieriger als die Probeprüfung. Der Übungsleiter wirkte währen den Übungen, sowie auch während der Prüfung, unvorbereitet und nicht gewillt den Studenten etwas beizubringen. Ebenfalls konnte er nicht einsehen, dass die Prüfung durch die vielen Fehler und Missverständnissen nicht wirklich fair zu lösen war. Die Noten sind selbst nach sieben Wochen nicht online. Auf Nachfragen im Forum, wann die Noten online sein werden, wird nur schleppend reagiert. Der Vorlesungsinhalt wäre grundsätzlich interessant, jedoch etwas trocken. Prof. Natter trägt den Stoff motiviert vor und ist wohl das einzig positive an dieser Veranstaltung. Alles in Allem war dies meine bisher schlechteste Vorlesung im Bachelor...",1,2.0,1.0,1
1428,5b55cff3ba22db001a56dd56,"Spannend, extrem viel Aufwand, unfaire Prüfung. ",3,0.0,0.0,0
2938,5cf509fc608ff5001c679293,"Super easy, einfach die Zusammenfassung von OLAT runterladen und die rot abgestrichenen Sachen lernen, kommen ziemlich eins zu eins an der Prüfung",5,2.0,0.0,1
541,5a6f7e804adcfd001aa26747,"Ja, man kann Ökonometrie auch interessant unterrichten",5,0.0,0.0,0
1812,5c23333555d301001c843d6f,"Unklare lernziele, viel stoff und oft prof welche den inhalt nicht gut erklären. Musste das Modul zwei mal machen, beim zweiten mal hats dann geklappt aber auch nur knapp (war nicht zu erwarten mit dem lernaufwand den ich in das fach gesteckt habe)  ",2,4.0,0.0,1
3743,5d7690f57b41bc001c3f0e48,"Sehr interessant, aber fand es ziemlich schwierig.",4,0.0,0.0,0
2242,614f333bf8fc2e00211bd5f8,"Wenn du dich wie ein 12-Jähriger mit missbräuchlichen Eltern fühlen willst, dann ist das dein Ding.",1,0.0,0.0,0
4927,5f3f60645d0b8b00224a94e1,"Nachdem man CF besucht hat, ist der Aufwand in Ordnung und es kommen nicht gross neue Themen, sie werden einfach ein wenig tiefer behandelt. Die Vorlesung selber fand ich weniger spannend. Es musste vor allem mit den Excel-Übungen gelernt werden. Die Prüfung zuhause im Excel war zeitlich viel zu knapp bemessen. Schlussendlich waren die Noten aber fair gesetzt und es wurde bestimmt kein normaler Notenschlüssel angewendet. ",3,0.0,0.0,0
6090,61fa6e31f5ea22002113335f,"Absolut gechilltes Modul. Habe es als Wahlpflicht gewählt (studiere Biomedizin). Der Dozent ist super lieb und gibt tolles und hilfreiches Feedback. Ich habe die VL irgendwann nurnoch auf 1.5X Geschwindigkeit geschaut, weil er relativ langsam spricht und pro Vorlesung nicht sooo viel Inhalt vermittelt wird. Die meisten VL haben 1-2 Grundaussagen, die man sich merken sollte, aber ansonsten wirklich nicht viel Stoff. Das Projekt wird sehr nett bewertet und man ist völlig frei in der Themenwahl. Die Prüfung bestand aus Essay Fragen, die aber sehr fair sind und wo man viel schreiben kann. Für 2 ECTS völlig ok vom Arbeitsaufwand und es ist einfach eine gute Note zu machen. Würde das Modul nochmals besuchen.",5,0.0,0.0,0
5421,60532558f1a2aa0022e64a44,Top Fach,5,0.0,0.0,0
7,5a5ef32bbe6796001a9d8031,"Sehr interessant. Und nein, die Prüfung enthielt keine zu detaillierten Fragen. Ich hatte einen Blick auf die Dias am Abend zuvor und bekam eine 5. Wenn Sie während der Vorlesung genau zuhören, müssen Sie nicht viel Zeit in das Studium investieren.",5,1.0,0.0,1
6407,62b32147821ff6002189eacc,"Spannendes Fach. Gut für die „Nach-Corona“ Zeit mit Inflation. Hilft beim traden :) Nichtsdestotrotz etwas unstrukturiert. Die Videos, naja geht klar, denke eine Live-Vorlesung wäre gar nicht gut. Wenigstens kann man die Videos wiederholen bis zum geht nicht mehr oder bis es verstanden wurde. Professorin naja, ist okay sie gibt ihr bestes.",3,0.0,0.0,0
3956,5dfa0db896d0e2001e001b8d,Vorlesungen unterschiedlich spannen und informativ. Prüfung empfehle ich genau mit Kärtchen oder so zu lernen. Bei uns kamen 50/50 offene fragen und fragen zum ankreuzen,4,0.0,0.0,0
815,5a8ed74a3a7bb7001a50250e,Fach ist ganz ok... Ähnlich wie Rechtsgeschichte. Prof. Babusiaux vermittelt den Stoff aber sehr gut. ,3,3.0,0.0,1
48,5a5ef8c3be6796001a9d8191,"Moduverantwortliche und Tutoren sind ein wenig chaotisch. Sehr unterschiedliche Bewertungen beim Midterm und bei der Mündlichen. Man muss dran bleiben bis zum Midterm, danach muss nur noch ein Projekt abgegeben werden. Sucht euch dort angenehme Leute (4er Gruppen, wenn jemand mühsam ist verdoppelt das den Aufwand). Gibt dann noch eine mündliche Prüfung in der Prüfungsphase, die aber nur 20% zählt. Die Zeit bis zum Midterm bringt viel, man lernt Python gut kennen. Das Projekt war dann mehr einfach Aufwand und nicht viel Fortschritt in Pythonskills. Kann aber sicher auch angenehm sein wenn niemand in der Gruppe übermotiviert aber unfähig ist. ",3,1.0,0.0,1
357,5b2b74059d2efb001abb065d,"Inhalt ist interessant, aber def nicht die Dozenten.. zu detaillierte Fragen in der Prüfung gestellt. Nicht würdig für 1 ects",2,2.0,1.0,1
532,5c0afa935d22d4001b2f1159,Einfach und praktisch mit einem sehr sachkundigen und engagierten Dozenten. Erwartungen und Noten sind leider sehr unklar (aufgezeichnete Präsentationen).,4,1.0,0.0,1
2958,5cf7978318dfce001cc20b87,Nach 5 Wochen immer noch kein Resultat,1,2.0,0.0,1
2540,5c6451e5f56892001cbdb333,"- Gute Einführung in R - Viel gelernt - Einfache Prüfung - Vorlesung nicht langweilig, da man immer wieder paar Übungen mit R machen kann - Folien Selbsterklärend -> Lohnt sich falls Interesse für R da ist",5,2.0,1.0,1
3402,5d1619ba642f27001c08e1d1,• Vorlesung und Stoff ist sehr unstrukturiert  • Prüfung ist teilweise eine absolutes Ratespiel,3,9.0,0.0,3
6438,62b97a2c714a470021df8b47,"Habe mir erhofft, mehr über das Gärtnern zu erlernen. Bin enttäuscht in meiner annahme",5,0.0,0.0,0
2400,5c595d1b896c29001c110d84,"Die Prüfung HS18 war nicht gleich aufgebaut wie die aus den letzten Jahren, trotzdem gab es lösbare Aufgaben. Eine 4 war ab 10 Punkten zu erreichen, was ich als fair empfand, da sie schon ein bisschen schwieriger war. Trotzdem lernte ich mehr vom Markus als vom Dozent selber. ",3,5.0,4.0,1
204,5a7adc188c0f1b001a2f7570,"Leichte Punkte, unheilvoll langweilig.",3,3.0,0.0,1
172,5a6db50fe5f761001a0fd917,"Sehr interessante Themen, wir betrachteten Theorie und zur gleichen Zeit viele empirische Papiere, um einen Beweis für die Theorie zu erhalten. Daher konnte ich das Material ziemlich leicht erinnern, obwohl es viel war. Für 6ECTS sehr fair Menge",5,0.0,1.0,0
2173,5c488346d5cd47001cbe1cf0,Schad chamer ned 0 stern geh. Nume uswendig lerne. ,1,1.0,0.0,1
290,5ad1d99f6fd707001af829d8,Es ist interessant und relevant für die Zukunft. Gute Wahl.,4,2.0,17.0,0
2387,5c548e9f347055001c6d6ab9,"2 von 4 Dozenten sind sehr schlecht. Anstatt der Vorlesung von Bachmann und Willet kann man einfach das Buch lesen, reicht für die Prüfung. Fichtner war top.",2,4.0,0.0,1
2115,60d2282ff10a700022312802,"Sven ist ein großer Lehrer, und die Themen sind interessant. Die Prüfung war viel schwieriger als die Aufgaben, so sehen Sie sich die Vorjahreszeitraum als Referenz.",4,0.0,0.0,0
3536,5d1efb116cf972001c80c17a,guter Dozent,3,1.0,1.0,0
1011,5b1155c7b77f5e001a691fda,"Sehr spannend, super Prof und gute Tutorate, faire Prüfung",5,4.0,1.0,1
1480,5b8590e219ae59001a36d597,Spannende Vorlesung. Prüfung streng bewertet. 25 von 40 Punkten gibt eine 4. 20 Punkten von 40 gibt eine 2.5.,4,15.0,1.0,3
3075,5d02cc32452355001c7e47be,"Sadistik äh, Statistik als Fach an sich sehr interessant und wichtig. Professor Werwolf war auch unterhaltsam. ABER: Übungen und Prüfung waren komplett unterschiedlich. Musterprüfungen zwar vorhanden, allerdings ohne Musterlösung (nur richtiges Kreuz). Ausserdem kann bei der Prüfung ein richtiges bzw falsches Kreuz bis zu einer Note Unterschied ausmachen. Einfach 6 bis 7 Kreuze setzen, wo man 99% sicher ist.",3,2.0,0.0,1
6607,6317c1800cca020021c90502,"Prüfung einfach, aber schlechte Dozentin! ",2,0.0,0.0,0
6474,62c08e7939b6570021f734d2,Echli unnötig…,3,0.0,0.0,0
5521,60c33e76f1bf6400228840ff,"5.0 - Ich habe alles gekonnt, an der Prüfung waren dann einige Fragen 1:1 wie dass was man gelernt hat und einige irgendetwas",5,0.0,0.0,0
5778,614f4ab6f8fc2e00211bd79e,"Sehr spannende und coole Experimente abgesehen von den Physikalischen Chemie Versuchen. Für die PC Experimente empfehle ich euch, euch sehr gut vorzubereiten, da ihr sonst sehr viel Zeit bei der Auswertung der Versuche verschwenden werdet. Leider hatten wir die Theorie zu den Experimenten, in der Vorlesung meist erst danach, was nicht viel Sinn macht.",3,0.0,0.0,0
2511,5c616b0085a740001c875a58,"Wirklich ein sehr spannendes Modul, jedoch sind die Prüfungen ziemlich anspruchsvoll. Der Teil von Prof. Hengartner ist dabei gut machbar, der Teil von Prof. Basler erfordert schnelles/logisches Denken und ist meines Erachtens sehr viel schwieriger!",3,4.0,0.0,1
2116,60d228abf10a70002231281b,"Milestone 1 war verrückt, da man Javascript lernen, reagieren, ausruhen, java (was ich nicht wusste) und eine Reihe von anderen Technologien in 3 Wochen und den Code bereitstellen musste. Stellen Sie sicher, dass Sie Ihre Benutzergeschichten gut schreiben und folgen Sie den formalen Sachen sorgfältig, weil sie ziemlich streng darüber sind.",4,0.0,0.0,0
2979,5cf97c08213363001ca9bd88,"Notengebung willkürlich, sonst in Ordnung. ",4,0.0,0.0,0
4318,5e36a96b05686b0022b6ce87,"Teil von Lucio sehr strukturiert und gut erklärt. Teil von Andrea etwas durchgestresst (hatte immer ca. 90-120 folien pro vorlesung) Thema aber sehr spannend, prüfung hatte viele grammatikalische fehler, war aber fair",4,0.0,0.0,0
1905,601038d0c05eff00229e4ef7,"Wenn Sie beides oder eins kennen, wird es nicht zu hart sein. Das Projekt ist so zeitintensiv, wie Sie es wollen, aber sie werden Ihnen nicht alles beibringen, was Sie wissen müssen, um es zu tun. Die Vorträge laufen im Grunde parallel zum Projekt. Prüfung war die einfachste I-ve jemals hatte. Im Grunde nur ctrl-f der pdfs. Gut zu sehen, was Beratung Arbeit beinhaltet. Die Dias über Präsentationssteuktur, etc. sind groß und kann verwendet werden, um wertvolle Dinge zu lernen, die Sie außerhalb der uni anwenden können.",4,0.0,0.0,0
662,5a7a53908c0f1b001a2f5fde,"Ich wurde nicht so recht warm mit dem Fach. Schwerpunkt lag klar auf BPMN und ERP Systemen. Man merkte, dass das Fach in dieser Form zum ersten mal durchgeführt wurde. Übungen waren z.T. sehr umfangreich und es war schwierig, die volle Punktzahl zu erreichen. Dass die Übungen, an denen man anwesend sein musste, um Punkte zu erhalten, als Wettbewerb organisiert waren und man auch bei Anwesenheit z.T. nur wenige Punkte erhielt, finde ich daneben. Der Fokus lag bei der Prüfung vor allem auf BPMN und auf scheinbar zufällig ausgewählten Teilelementen der Vorlesung. Eine Prüfungsfrage bezog sich gar auf eine einzelne Grafik, welche während der Vorlesung nicht weiter erläutert wurde. Man muss an dieser Stelle aber das Engagement des Dozenten und der Übungsleiter positiv erwähnen, welche immer wieder nach Feedback zu der Vorlesung gefragt haben.",3,1.0,0.0,1
23,5a5f3fdabe6796001a9da283,"Schrecklich. 80% des Lehrplans wurde im Corporate Finance-Kurs I.ve hatte im Bachelor abgedeckt. Vorlesungen waren leicht zu folgen, obwohl ein bisschen langweilig, Lehrer ist ziemlich langsam. Problem-Sets relativ einfach und Straigforward zu lösen. Exam: Desaster. Ein großer Teil davon wurde abgedeckt und es scheint, als ob das Vergehen war eine Frage des puren Glücks in der Wahl zwischen den Unsinn Antworten auf unmögliche Fragen.",1,1.0,0.0,1
1649,5be414c014aab6001b10a807,Eine der interessantesten VL im BF!,3,0.0,12.0,0
2285,5c501edeab563b001c4cfffe,Super spannende und gut verständliche Vorlesung.  Die Übungen sind sinnvoll strukturiert. ,5,0.0,0.0,0
2202,5c49c5abaaf8a6001c779744,"Gut aufgebautes Modul mit Dozenten, die sehr nett sind und sich viel Mühe geben.  Die Prüfung fand ich einfach, man muss nur den Fokus richtig setzen. Wenn man sich das merkt, was häufig betont wird (insbesondere in den Vorlesungen von Frau Muff!), dann ist die Prüfung wirklich fair. Das Coden mit R wird an der Prüfung nur sehr am Rande abgefragt, eher die besprochenen Konzepte sind wichtig. Das war das „Problem“ von denen, denen die Prüfung schwer erschien. ",5,5.0,0.0,2
6505,62c7da938b0d7b00213be322,"Nette Dozentin, Arbeit ist nicht zu aufwändig.",5,0.0,0.0,0
108,5a638ccb54f060001af5c3dd,"Interessantes Thema, aber leider waren Professoren langweilig. Prüfung war schwierig und zu viel Drama für 1 ects",2,7.0,0.0,2
2565,5c698dd70f0ace001c3834f6,Keller und Schiestl gut und lernen geht eigentlich intuitiv.   Bucher schwierig zu verstehen da seine Folien vollgepackt sind und er allg. schwierig zu verstehen ist.  Aber mit dem Potcast (statt VL) und ein wenig Geduld ist das Thema eigentlich einfach und logisch (heisst. einmal verstanden ist es einfach und auswendig muss man nicht wirklich viel können.) Seine Fragen sind fair.  Praktikum könnte kürzer sein. Aber ok. Details nicht vergessen zu lernen. (vorallem die welche er speziell am Praktikum hervorhebt und erwähnt.) Viele Fragen an der Prüfung. ,3,0.0,0.0,0
1181,5b2a53f5eeda99001a4a74d2,"Vorlesung sehr interessant.   Prüfung wirklich nicht gut. Komische Sätze und oft kleine Wörter, die die ganze Aussage in Frage stellen.   Überprüft nicht das Wissen!",4,13.0,1.0,3
5867,61c3191053dffa0021aebdb2,An sich ein recht einfaches Fach hat viele Themen die man schon kennt aber ab und zu auch mal etwas interssantes neues. Allerdings ist die Organisation eine einzige Katastrophe oft wusste niemand wo die Vorlesung stattfindet und insgesamt wurden nur 4 Vorlesungen aufgezeichnet obwohl es hieß alles könnte man auch online machen. Es war natürlich auch super praktisch dass manche Vorlesungen nur Bilder enthielten und dann natürlich ohne aufgezeichnete Erklärung super zu verstehen waren… Wenn man vor hat alles live zu besuchen empfehlenswert prüfung war auch fair allerdings sollte man mit ner grauenvollen Organisation rechnen und keine Hoffnung haben Antworten auf Mails zu bekommen,3,0.0,0.0,0
6609,6318e400e3b1d00021a53fec,"Ich fand das Modul didaktisch sehr schlecht, in den Vorlesungen habe ich nichts kapiert. Die wöchentlichen Übungen dementsprechend auch schwierig und demotivierend, Übungsstunden naja… ",3,0.0,0.0,0
4477,5e5524a1a5892400223eb49c,"Aufwand ist seit dem FS20 noch grösser dank der tollen 'wir lernen jetzt Zusammenfassungen schreiben und bewerten uns gegenseitig' Einstellung der Dozierenden.  Wenn 30 Minuten der Vorlesung daraus bestehen, wie ich meinen Text mit Leuchtstift markieren soll, frage ich mich, wo die GEO in der Visualisierung geblieben ist und ob ich nicht einfach im Bildnerischen Gestalten Kurs im Gymi sitze..  Der Dozent redet viel, sagt aber wenig. Die Folien sind schön, aber inhaltlich leer.  Das Modul im 2ten Semester des Geo Studiums mit vermutlich dem grössten Aufwand und gleichzeitig dem kleinsten Benefit.",1,6.0,0.0,2
198,5a619bb5e9399e001ac570ff,"Erster Teil war eher langweilig. Prof. Basler meinte, dass die Etymologie der Fachbegriffe wichtig sei - wird aber nicht/kaum geprüft. Am besten die Aufgaben im Skript vor der Zwischenprüfung für Geschwindigkeit üben, alle Beispiele (Calico, Blutgruppensysteme, Peperoni etc.) überfliegen und gar nichts auswendig lernen. Hab die erste ZP verkackt, weil ich zu langsam war. Der zweite Teil ist spannend, es muss aber auch viel auswendig gelernt werden. Prof. Hengartner ist ein toller Dozent und seine VL sind sehr spannend. Die Übungsaufgaben im Griffith bzw. im OLAT sind z.T. zu kompliziert. Sich Prozesse selber aufzuzeichnen bringt mehr. Die zweite ZP war fair. Die Modulabschlussprüfung zeigte das gleiche Bild: Für den ersten Teil habe ich rund 90 Minuten gebraucht, für den zweiten 20. Das ganze Modul ist sehr gut organisiert.",4,5.0,1.0,1
3910,5defe56ba0ec33001e5c3679,"sind no chilligi 3 ects wod bechunsch und no n faire ufwand findi, prüefig easy obwohl sie d zitation so hervorghobe hend aber denn glich nur 2 frage dezue bracht gha hend - whack",3,4.0,0.0,1
2669,62b050db481a4a0021060db9,Nicht so schwierig.,5,0.0,0.0,0
4549,5ea5c242f03b56002286aadd,"Teil B (Norman Backhaus) besonders spannend. Die anderen beiden Teile A und C sind nicht ganz so interessant, aber völlig okay. Die Übungen sind m.M.n. unnötig und wirken etwas aufgezwungen. Besonders die Übungsstunden sind nicht sonderlich interessant und auch nicht ergiebig.  Alles in allem ist das Modul aber ganz okay Es wird jedoch viel zu sehr auf den Begriffen herumgeritten...",3,0.0,0.0,0
4399,5e42af5c416cbc0022a785ea,"wenn mer Mikrobio gha het eig recht easy, eifach embryology guet ahluege",3,0.0,0.0,0
1031,5b16c9a5696b82001a9cdea1,"Viele Prüfungsaufgaben basierten auf den Übungsaufgaben, die während des Semesters verteilt worden waren.",3,1.0,0.0,1
3861,5dcd2f643ad5fc001ccb1106,"In die Vorlesung zu gehen ist absolut überflüssig. Lösungen zu Übungen werden hochgeladen. Prüfung sehr fair, jedoch nicht zu unterschätzen. Blockkurs langweilig, jedoch für den einfachen Noten-Booster definitiv ein Muss.",4,3.0,1.0,1
2486,61fef5c8eb490a0021e7c43d,"Ehrlich gesagt, das Seminar hat mir einige große Fähigkeiten in R gegeben und ich werde sie sicherlich für zukünftige Papiere verwenden. Grading war streng, aber fair!",5,0.0,0.0,0
1286,5ddea61503c5f2001c46b9be,Gutes Seminar!!! Gute Teamarbeit und nettes Gelingen!,5,1.0,0.0,1
4186,5e21878da271db0022e3e561,beste fach wos je hets gits! sehr spannendi gastreferat und de dozent bringt au super praxis bispiel😊,5,1.0,0.0,1
5408,603fa3a97ff2ca00225bd3b7,Kan man sich gepen,4,0.0,0.0,0
5824,61a4e4e76e8101002104af1c,"Themen interessant und Grundlage für viele weitere Fächer. Jedoch ist das Fach sehr umfangreich, und wenn man es nur macht weil es ein Pflichtfach ist macht man sich vor der Prüfung ins Hemd ",3,0.0,0.0,0
6224,623dc969f2ebf4002171a308,"Vorlesungen sind nicht unbedingt Nötig, die Lehrvideos erklären den Stoff super. Vorlesungen können bei Themen die man nicht versteht besucht werden. Faire Aufgaben an der Prüfung und meines Wissens nach faire Bewertung. Jedoch hatte die Prüfungsumgebung im HS21 mega Probleme was ungeil war. Sonst Top",5,0.0,0.0,0
216,5a61b70ee9399e001ac57bbe,Wichtiges Fach,5,0.0,0.0,0
1419,5e218897a271db0022e3e5ea,Interessant!,5,0.0,0.0,0
5453,608fdc8cef46680022d204f1,Ich bin mit diesem Fach sehr unzufrieden. Es frustriert mich sowas von. Viel zu viel stoff und das mal nur eine einzige prüfung. Zweiter Versuch... einfach unglqublich dass mein studium von dem abhängig ist,1,0.0,0.0,0
257,5a622818f92ac7001a6ec58f,"Prüfung im HS19 war nicht mit den Übungsaufgaben zu vergleiche, sondern wesentlich schwerer. Zudem war die Zeit viel zu knapp bemessen ",2,1.0,0.0,1
5597,60d89df3275c21002223aed5,Sehr schlechti Vorlesig aber defür mega eifachi Prüefig (open book)  Fox for president,5,0.0,0.0,0
1251,5b3285ee0aa5d6001abd5e72,"war ein sehr spannendes Modul mit modiviertem Dozent, Prüfung war eher schwer.",4,6.0,0.0,2
2467,5c5c8fdc5112ef001c6b93e8,"Die Vorlesung an sich ist spannend, aber mann muss definitiv mehr Zeit & Aufwand für das Modul investieren als 3×30h (3 etcs). Die Prüfung des HS18 war, wie erwartet sehr detailreich und es braucht ein bisschen Glück um zu bestehen.  Ich finde es schade, dass es zum Modul Bio 112 keine Übungen oder ehemalige Prüfungen gibt, um sich ein Bild von den Fragentypen zu machen. Immerhin hat man genug Zeit für die Prüfung :)",3,0.0,0.0,0
2861,5ce54731170b12001cbd437b,Spannender Themeninhalt. Aufwand gross ,4,1.0,0.0,1
368,5b33b4e90aa5d6001abea3ab,"Einfache Credits, aber verwirrende Umrisse.",3,2.0,2.0,0
5323,602a52be9cb55c002262bc2d,"Pures Auswendiglernen! Die Fragen vom Pilz-Teil in diesem Jahr eher schwer, grundsätzlich aber faire Prüfung.",3,0.0,0.0,0
288,5ad1d8db6fd707001af829ca,"Wenn Sie zu den Vorlesungen gehen, verbringen Sie viel Zeit dort, aber nichts davon wird Ihnen helfen, die Prüfung zu bestehen. Nur müssen alle ‚Online-Fragen‘ lernen, und Sie sind in Ordnung",3,1.0,0.0,1
1398,5b4ce66f3dcc0e001ab26eb1,Sehr gute Vorlesung und ein hochmotivierter Dozent. Die Prüfung reduziert den Inhalt leider auf stupides Auswendiglernen und Wiedergeben von Begriffen.,4,1.0,0.0,1
6634,6356812605897c00219dffc7,"Gut das viele Modellorganismen angesprochen werden, schlecht das sie mehrere versuchen zu vertiefen. Als dann noch der Mensch dazu kam, habe ich die Übersicht ein wenig verloren. Ein bisschen mehr Fokus wäre sinnvoll. Als Follow-up für interessierte ist Bio 336 zu empfehlen",2,0.0,0.0,0
1426,5e257f0061cf3b0022f5d0ae,"Ich habe die Vorträge wirklich genossen; interessante Themen. Allerdings war die Prüfung eher zufällig, wo wir über lateinische Wörter anstatt die Konzepte, die wir hatten gefragt wurden. Für die Note, die ich am Ende hatte, studierte ich zu viel...",4,1.0,0.0,1
2415,5c59f0df896c29001c11f494,"Spannende Vorlesung, aber die gefühlt 20 verschiedenen Dozenten haben wohl nicht miteinander abgesprochen, wer was erklärt; daher viele Überschneidungen. Aber für RS-Interessierte eine tolle Veranstaltung und eine herzlichst willkommene Einführung in die ""Programmiersprache"" von MatLab.",5,0.0,1.0,0
345,5a65bb806e7c4f001abb6798,"Spannend, aber mehr Unterhaltung wie Wissenschaft. Auch kein wirklicher roter Faden beim Unterricht, dafür sehr gute Einblicke und anschauliche Beispiele. Prüfung fair.",3,4.0,0.0,1
4158,5e1f297070f0bc0022ef8eb8,"Spannende und definitiv wichtige Vorlesung. Der Dozent ist auch gut. Lege allen SEHR ans Herz, die Pflichtlektüre von Linder/Müller zu lesen.",4,1.0,0.0,1
6121,61fff706c31b7f002102d822,"Spannendi Vorlesig, Vill stoff für 3 credits ",5,0.0,0.0,0
2051,5c4186f8f6bb49001c6ecb10,Unterhaltsamer und gut erklärender Dozent,4,3.0,1.0,1
1379,5e1c9588c3ff0e001e368450,"Professor ist erstaunlich, Daten-Fähigkeiten, die gelehrt werden, sind sehr nützlich. Ziemlich viel Arbeit, aber am Ende war es es wert.",5,2.0,0.0,1
946,5afbfaafd2276e001ad4dde5,"Spannender Inhalt der Vorlesung, die Tutorate sind etwas überflüssig. Die Prüfung war sehr fair und der Aufwand nicht sehr gross für die 9 Punkte.",5,6.0,0.0,2
1860,5c31fcd8eb68cb001c37610e,"Super Vorlesung, spannend und faire Prüfung. ",5,1.0,0.0,1
821,5a8fa4533a7bb7001a5040e9,"Exkursion macht Spass. Vorlesungen v.a. bei Christian spannend. Doofes, aufwändiges System mit Kurzprüfungen alle 3 Tage. Unfaire Benotung der Abschlussarbeit, da von 2 verschiedenen Profs gemacht (Michael korrigiert viel strenger).",3,0.0,0.0,0
4134,5e1d7ec35c79e7001efaa111,"Bericht nach Prüfung: PAT4: Übertrag von OR zu IFRS mit Steuern. Gefragt wurden die Differenzen in den Abschlüssen.  Operating Leasing nach IFRS mit 9 Jahren Nutzungsdauer des Objekts und einer Leasingdauer von 3Jahren mit Zahlungen von 50'000 CHF jährlich und einem Grenzfremdkapitalzinssatz des Leasingnehmers von 5%. Dem Leasing zugrundeliegende Zinssatz war nicht bekannt. Leistungsorientierte Vorsorge nach IFRS eines Angestellten. Schwierigster Part bei dieser Aufgabe war, ob ein versicherungsmathematischer Gewinn von 3000 nun positiv oder negativ auf die Vorsorgeverpflichtung wirkt.  Zur Bewertung: Fach zeigt gut, bei welchen Accountingpositionen man tricksen kann und was die Unterschiede der Accountingstandards(IFRS, Swiss GAAP FER(&US GAAP)) sind. Mir fehlte die effektive Analyse von Unternehmen bzw ich weiss jetzt zwar welche Positionen ich wie bereinigen muss, weiss aber nicht was ich anzufangen habe mit diesen bereinigten Zahlen und wie ich sie interpretieren soll.",4,1.0,0.0,1
