,Unnamed: 0,_id,review,score,upvotes,downvotes,sum
1180,1180,5b2a3044eeda99001a4a2b7f,"Fand die Vorlesungen sehr interessant, jedoch war der Teil von Frau Manser schwieriger zum Aufpassen. Alles wichtige stand schon auf den Folien im Olat. So musste man nicht wirklich aufpassen, was sich meiner Meinung nach schlussendlich auf das Lernen auswirkt. Die Prüfung fand ich total fair.",4,2.0,0.0,2
7186,544,5c14cbdd58e82c001bf2f4ef,fair,5,2.0,2.0,0
7713,1071,5d14835b00270c001cf0e9f9,"Jinek macht eine gute Arbeit und hat sehr schöne Dias. Jelezarov Teil ist ein wenig verwirrend, weil er zeigt 100000 exapmles, aber am Ende müssen Sie nur das Konzept kennen ^^",3,0.0,0.0,0
8246,1604,5ee22d1ae85f920022e52a60,"Es gibt nur ein paar Dinge, die effizient und effektiv online gemacht werden können. Prüfung ist absolut keine von ihnen, oder zumindest nicht, wenn Sie eine Menge Aufgaben lösen müssen (offene Fragen und Anfragen) in nur 1 Stunde.",1,0.0,0.0,0
5110,5110,5ff34664bca7ac00227474c5,Ich gib normalerwis nie bewertige sogar nid bi de schlechtiste fächer nöd aber ich wird eu nur ein tipp geh bi dem fach. Machets nöd de ufwand entspricht ca 12 ects (no joke) Herleitige werded nid erchlärt und wenns erchlärt werded ide üebig denn hend slides fehler. Hans weg ihre falsche slides am afang völlig andersch glernt und sie benachrichtiget dich nid mal wenns d slides korrigieret 😂 jedi vorlesig /üebit het fehler und d üebige sind übetriebe lang. De typ het grad no chli master stoff zuegfügt und denn no eigeti arbeite woner mitem daron acemoglu und autor schriebt. Ihr chönd eu vorstelle wie übertriebe kompliziert de vorlesigstoff wird wenner eifach sini arbeite mit de berühmteste ökonome vo de welt vorstellt 😂 es isch ja nöd so als öb mer kei anderi fächer  hend. Für was het d uzh überhaupt das bologna system wenn schlussendlich in gwüsse vwl fächer 6 ects nöd 180 stunde ufwand sind sondern 300 und wenni b&f im nf han hani gwüssi 6 ects fächer wo nid mal 80 stunde ufwand sind 😂 die kritik gaht ad uni,1,0.0,0.0,0
4914,4914,5f34d9eb3704980022ff5843,"Der Stoff ist super spannend und echt gut machbar. Die Prüfung das Semester war über dem Niveau der VL, wofür sich Prof. Artus aber entschuldigte und den Schnitt entsprechend anpasste. Prof. Artus hat die Pandemie-Situation ansonsten super gemeistert – er hats einfach drauf.",4,0.0,0.0,0
1410,1410,5b4ef60b1b9f7e001a2f860d,Sehr schlechte Vorlesung,1,1.0,2.0,0
3401,3401,5d16145e642f27001c08db02,"reine glückssache, dass ich diese prüfung bestanden habe. total schwierig und aus der luft gegriffene fragen. war wirklich fies war diese gestaltet aber scheinbar gütig bewertet.",2,3.0,0.0,2
3926,3926,5df3c0d9a5e71a001e48a979,"Vorlesungen wurden häufig verschoben, Slides und eskript behandeln unterschiedliches und stellen keine Vertiefung der Folien dar. Anscheinend wurden Änderungen vorgenommen, aber nicht konsequent über alle Kanäle aktualisiert. Insgesamt wirkt dieses Modul wie ein hastig zusammengenähter  Flickenteppich. ",1,25.0,1.0,2
3838,3838,5db95edeac7166001c7efaca,sehr interessant und fairer Zeitaufwand,5,0.0,0.0,0
106,106,5a5f5684be6796001a9daad9,"Das Praktikum in anorganische Chemie wäre angenehmer, wenn: • das Material immer vorhanden wäre • wenn der/die TA nicht das Experiment vorzeigen würde, was man ohnehin schon auf OLAT als Videotutorial sehen kann (Videos sind gut!) • Der Skript ist für die Praxis nicht benutzerfreundlich (es empfiehlt sich, eine Art „Kochbuchrezept“ zu schreiben • wenn wir Studis uns nicht gegenseitig beklauen würden  Fazit: Entweder das Praktikum ist gechillt oder ein Riesenaffentheater. Macht euch gefasst, dass nicht alles zu eurem Gunst verläuft!  P.S: Hütet euch vor Bienz. 🌝",2,4.0,0.0,2
5288,5288,60211bf0c6f681002290b96a,"Super spannend (meistens), und Prof. Artus ist einfach ein super Dozent",4,0.0,0.0,0
1000,1000,5b0ff3b08e1548001a000664,"Stoff eher einfach und grundlegend. Studenten werden eher dümmer, daher sind die Bewertungen eher schlecht",5,4.0,54.0,0
984,984,5b0e9309b77021001a203e28,Sehr viel info auf einmal und schwer heraus zu lesen was wichtig ist. Multiple Choice prüfung schlechte wahl um das wissen abzufragen.,1,7.0,1.0,2
1620,1620,5bcdec44f639a00019259059,Die Themen sind eigentlich ziemlich interessant. Lrider lässt die Qualität einiger Dozenten zu wünschen übrig. Die Prüfung war okay. Die eint oder andere Frage war ein bisschen tricky,3,2.0,1.0,1
2484,2484,5c5d9cd8130de6001c88c1f4,"Das fach ist machbar, aber viel zu hoher Arbeitsaufwand für so wenig credits. Dabei ist es ein wirklich spannendes fach.",3,0.0,0.0,0
7242,600,5c234cc355d301001c844446,"Sehr interessant, guter Professor.",5,0.0,0.0,0
2329,2329,5c51f81bccaaf5001c0c3468,"Zum Teil interessante Vorlesungen. Prüfung mit Malus von 1 Punkt / falsche Antwort über 20 Fragen (ohne Teilbereiche, also 10 richtige, 10 falsche Antworten = Note 1) äusserst unfair. ",2,3.0,0.0,2
475,475,5a6ae9e7c18d85001a7d2500,Ruhe bitte,4,1.0,1.0,0
951,951,5afdee80db8489001a4d636a,Aufwand für 3 ETCS vergleichsweise hoch !  ,3,7.0,0.0,2
4992,4992,5f919bb1fecff50022cc77cb,absoluts scheiss modul,1,1.0,0.0,1
3871,3871,5dd5114bc33a5e001c66c214,"Einfach etwas, immerhin easy ects",4,0.0,4.0,0
8074,1432,5e26b66e0d5ea60022e48c40,Sehr interessanter Kurs und sehr gut gemacht! Nur Con: für 2ECTS gibt es eine Menge Arbeit / Studium zu tun!,4,0.0,0.0,0
313,313,5a64826d3557a5001a140b8a,"Lehrerin redet sehr monoton, schwierig um Aufmerksamkeit über zwei Lektionen hin weg aufrechtzuerhalten. Es werden nur Theorien besprochen, kaum Bezug zu aktuellen Themen, obwohl dies bei diesem Thema sehr gut möglich wäre. Würde ich nicht weiteremfpehlen!",2,0.0,0.0,0
7700,1058,5d11529b5ed105001cc5f5d8,Das Seminar war wirklich im Stich gelassen.,3,0.0,0.0,0
228,228,5a61cb0ff92ac7001a6e9d43,"mitreissender dozent, sehr faire prüfung/hausaufgaben",5,1.0,1.0,0
1336,1336,5b4118e33f91bc001acf5d51,Thema spannend. Vorlesung unstrukturiert.,2,0.0,0.0,0
2591,2591,5c6a94920f0ace001c395421,Ziemlich schwieriges Fach,4,0.0,0.0,0
500,500,5a6cae455f15c6001a745549,"Inhaltlich interessant und einfach eine gute Note zu schreiben, aber sehr unstrukturiert & schlechte Folien ",2,6.0,1.0,2
1283,1283,5b3762d15fb074001affb829,"Interessante Vorlesung, aber natürlich den Credits fürs Modul entsprechend nicht viel mehr als eine Einführung. Die Prüfung ist trotzdem nicht ohne.",4,3.0,0.0,2
9225,2583,6282b13871fd050021643fdb,"Allgemeine Idee des Kurses ist groß, Sie lernen viele Fakten über vergangene Krisen, Bankläufe, Blasen, kennen... Das Problem ist die Art und Weise, wie es gelehrt wird, Vorträge waren unglaublich langweilig und die Break-out-Sitzungen haben es nicht besser gemacht. Geben 3 Sterne, weil am Ende, mit individuellem Lernen (hauptsächlich die Papiere) Ich habe viele interessante Dinge gelernt, die ich vorher nicht wusste.",3,0.0,0.0,0
7472,830,5c642e45f56892001cbd907d,"Es ist das erste Mal, dass Professor Weber diese Klasse unterrichtet. Die Prüfung war sehr fair und wenn Sie die Übungen gut verstanden haben, werden Sie bestehen. Um eine gute Note zu bekommen, müssen Sie die Lesungen machen.",4,0.0,1.0,0
7992,1350,5e1613fe18458d001e608e21,Interessante Themen und faire Prüfung,5,0.0,0.0,0
4712,4712,5ee795bf53642a0022545bbf,Hens ist mein Held❤️,5,0.0,0.0,0
3335,3335,5d135423994651001c033223,"Anforderungen nicht ganz klar, jedoch ist es möglich mit wenig Programmierkenntnissen das Fach zu bestehen. Keine Prüfung, nur eine Projektabgabe + Vortrag, was die Prüfungsphase sehr entlastet. ",3,0.0,0.0,0
9284,2642,62a76095f4cfca0021da9cd1,"Der Zeitdruck bei der Prüfung ist riesig, die Übungen sind viel schmutziger als in den Studienblättern. Thema auch schrecklich und unrealistisch. Tutor, vor allem zweite ist ein arrogantes Desaster.",1,0.0,0.0,0
2112,2112,5c45d7f67236dc001c4e68de,"Nie in die Vorlesung gegangen, Folien gelernt. Buch wäre an sich auch hilfreich aber nicht unbedingt nötig. Komische Grafiken, sollte mal 'ne Diskussion mit dem Debelek halten!",3,1.0,0.0,1
8249,1607,5ee69bde53642a0022542800,"Interessant, aber zu viel zu tun für die Problem-Sets. Prüfung ist fair",4,0.0,0.0,0
5105,5105,5ff2dc90bca7ac002274620e,"Gutes Fach, noch spannend. Wer Managerial Accounting von der Art her schon easy fand, dem wird auch Advanced Managerial Accounting gefallen.   - Übungen gut und zügig lösen können ist Voraussetzung für die Prüfung - Prüfung nicht zu unterschätzen, nochmal einen Tick schwieriger als die Übungen - Zeitdruck an der Prüfung, es ist nicht nötig bzw. unmöglich alles zu lösen, dies ist aber im Voraus vom Prof so kommuniziert worden. Deshalb Zeit gut einteilen und das lösen, was man kann.  - Wer die Übungen nachvollziehen kann, verstanden hat und diese zügig rechnen kann, der wird in der Prüfung trotz oben genannter Schwierigkeiten eine gute Note schreiben, alles in allem wird gefühlsmässig sehr fair bewertet. Zudem im HS20 schon einen Tag (!) nach der Prüfung die Note erhalten. ",5,0.0,0.0,0
1995,1995,5c3de19ed5b710001c16672d,"Arbeitsintensiv, aber äusserst leerreich. Besteht aus drei Teilen. Woche 1: wissenschaftlicher Text verfassen. Wochen 2-6: Laborpraktika in 2 Forschungsgruppen. Woche 7: Prüfung und Präsentation. Es ist von Vorteil, wenn man durch einzelne Kurse oder Praktika bereits vor dem Blockkurs Einblick in den Laboralltag erhielt. Aber würde auch ohne gehen. ",5,3.0,1.0,2
2769,2769,5ca347f81f23b4001cb42f35,"Zu nice, lernsch viel über cancer und für eins life Statistisch gseh sind d studis i dem blockkurs alles geili sieche (p value 0.0000001***)",5,6.0,0.0,2
1250,1250,5b326f436f5508001adc5482,Sehr praxisrelevante Vorlesung,5,2.0,2.0,0
5338,5338,602bc4a79e88020022d164ea,"Unstrukturiert und unklar was wichtig ist.  Faire prüfung, oberflächlich",4,0.0,0.0,0
6820,178,5a6f81824adcfd001aa26856,Wirklich schlechte Erklärungen,1,0.0,0.0,0
749,749,5a8338b569713d001a9eb062,"Bestes Fach im ersten Semester, extrem interessant aber auch sehr anspruchsvoll, beim lernen unbedingt denken und nicht zu viel auswendiglernen, sonst werden die Prüfungen ein Gemetzel (werden sie sowieso)",5,4.0,3.0,1
6207,6207,622b44d93cde650021b54de6,Super Dozent,5,0.0,0.0,0
3592,3592,5d274117f515bb001cb11cd9,Grosses Kompliment an Prof. Kilminster der sich für jeden Studenten im persönlichen Gespräch Zeit genommen hatte um offene Fragen zu klären. Das ist alles andere als selbstverständlich. ,5,3.0,2.0,1
8381,1739,5f733bab59db7c00225e672a,Sehr organisierte und interessante Vorlesung mit einer fairen Prüfung.,5,0.0,0.0,0
4464,4464,5e52bc4f5327220022ba8e05,"- sehr spannendes Modul - Brunner kann sein Wissen gut weitergeben und hat super Slides (alles steht drauf) - Baroux hat etwas wenig Text auf den Slides und verwirrt zum Teil mit langen oder unvollständigen Sätzen - faire Prüfung (allerdings wichtig während der Prüfung nicht zu lange zu überlegen, einige multiple choice sind verwirrend wenn man kleine Details nicht kennt... also Tipp: Details lernen!)",5,0.0,0.0,0
7504,862,5c6d07d54da451001c79e952,Sie lernen die Grundlagen über Schlafphasen und EEG. Aber es wird nichts über Träume geben. Noch ziemlich interessant imo.,4,0.0,0.0,0
6530,6530,62cea706b22ef200217dfdd8,"Das Fach fand ich persönlich nicht sehr spannend, aber die Prüfung ist sehr fair gestaltet (je 2 Fragen pro Vorlesung, sogar angegeben ob SC oder MC). ",4,0.0,0.0,0
3154,3154,5d0949d7c4518e001c900ffc,"Das Jahr war das Modul gut, Prüfung fair ",5,9.0,0.0,2
5920,5920,61e08f509dfbf9002174daa8,Jaa doch ,5,0.0,0.0,0
7966,1324,5e035fda1253ce001e36e188,"Interessante Themen, gute Praxis für Python",5,0.0,0.0,0
6830,188,5a73bcc1047872001a55f73b,Prüfung völlig anders als Übungen in der Klasse gesehen! Sehr enttäuschende Klasse,1,3.0,3.0,0
9258,2616,629a18b6c75dcc0021a3b86c,"nicht zu empfehlen. erste Hälfte war Spaß, die zweite geht in Beweise, Theoreme, ... keine Zeit, um die Übungen zu diskutieren, die unnötig schwer sind",1,0.0,0.0,0
6278,6278,6295b8a053dc410021e0afb4,"Modul relativ einfach. Nur ein Paper abzugeben, welches sehr locker bewertet wird",4,0.0,0.0,0
4764,4764,5ef0a03e2c07fb0022477b9a,"Spannendes modul, drecksprüfung",2,0.0,0.0,0
3526,3526,5d1dee9e3d5e6e001cf92c97,"Mutschler regt die Studenten immer wieder dazu an, an den Diskussionen während der Vorlesung teilzunehmen.  Schlussendlich ist er traurig, weil niemand sich meldet. Schliesslich nutzt er diese „Diskussionen“ aus, um seinen Ego zu stärken. Der Sinn einer sinnvollen Debatte somit verfehlt.  Er mag zwar Physik studiert haben, dennoch verbreitet er in diesem Bereich viele Unwahrheiten (offensichtlich ist er der speziellen Relativitätstheorie nicht bewandt). Ebenso verunglimpft er bestimmte Methoden der Mathematik (z.B. das vollständige Induktionsgesetz, welches auf *Zahlenfolgen* angewendet wird und NICHT auf physikalische Probleme), nur um seine Weltanschauung zu stärken. Es ist eine Frechheit, Studierende so hinters Licht zu führen, die nicht in der Mathematik und Physik über einem vertieften Verständnis verfügen!  So wie die Vorlesung und die MC-Prüfung (Aussagen, die sowohl richtig als auch falsch sind; man musste wie Mutschler denken, um die richtige Antwort anzukreuzen) im Bezug auf FS19 aufgebaut sind, kann man mit gutem Gewissen das gesamte Modul im angetrunkenen Zustand „geniessen“, denn ohne Alkohol kann man sich das NICHT geben.  Es wäre gesunder für dieses Modul, wenn dieses als Seminar gehalten wird. Bei kleineren Gruppen wären Essay-, Gruppen-, und Vortragsarbeiten möglich, was in der Ethik sinnvoller wäre. Als Massenveranstaltung taugt dieses Modul gar nicht! Liegen keine anderen Lösungen vor, sollte man eine Anwesenheitskontrolle in Erwägung ziehen und die Credits dann anrechnen lassen.",1,40.0,4.0,2
2425,2425,5c5ad465f265a5001c57fee7,"Spannende Vorlesung, gute Unterlagen und gute Organisation. Die Prüfung war fair. ",5,4.0,3.0,1
8546,1904,60103537c05eff00229e4e37,"Gut, wenn Sie wissen wollen, wie Beratung Arbeit ist, aber die Mühe, die Sie in diesem Thema nicht bezahlt werden in der Klasse",4,0.0,0.0,0
7922,1280,5dd511cfc33a5e001c66c248,"Persönlich fand ich den Kurs nicht nützlich. Viel zeitaufwändiger bla bla für nichts. Empfehlen Sie die Literatur zu lesen, aber überspringen Sie diesen Kurs.",1,2.0,3.0,0
506,506,5a6dbfdee5f761001a0fdaf9,"Interessant, leichte Credits ",5,1.0,0.0,1
6250,6250,6275ac58885e0c002147a29a,ich brauch erstmal nen kaffee,5,0.0,0.0,0
9471,2829,62fc85d9d60109002169476b,Viel zu viel Arbeit für 3 ECTS und wirklich steile Noten.,1,0.0,0.0,0
6387,6387,62b1fd1f4826fd002125b481,"weiss nöd warum so viel klaget. de dozent isch en cutie, gschwindigkeit chamer dank podcasts starch erhöhe, sodasses spannend bliebt. sini stimm isch sehr agnehm, folie sind top und de stoff ziemli simpel. d‘üebige sind eifach, d‘prüefig sehr fair.",5,0.0,0.0,0
8458,1816,5fe0d1d17c2add0022b335e1,Ganz gut und motiviert Dozent! Nehmen Sie es!,4,0.0,0.0,0
9118,2476,61fceb11dfdc2600218f9008,"Wenn Sie eine Wahl haben - nehmen Sie dieses Thema nicht! Sie müssen viel Zeit investieren und die Chance, eine hohe Note zu gehen ist sehr gering.",1,0.0,0.0,0
4840,4840,5f00e44d147f70002264aca1,"Vorlesung deckte gefühlt alle Themen der Physik von Halbwertszeit über Hydrostatik bis zu Quantenmechanik ab. Fraglich wie viel Sinn dies macht. Übungen waren an sich gut aber leider war die Prüfung einiges schwieriger. Ich finde es schade, dass diese Vorlesung keine Weiterführung von phy127 ist, sondern es fängt wieder von vorne an aber geht überhaupt nicht ins Detail. ",1,0.0,0.0,0
1076,1076,5b202839f4c683001a6a8d46,"Sehr cooles fach, aber die prüfung war sehr (zu) schwierig",2,2.0,1.0,1
8400,1758,5f9eeffbf368fb0022a6be9b,"Sehr intersting Thema und gut organisiert, Bur leider viel zu viel mit den Vorträgen, Lesen, Journal Club, Projekt etc. Aber Sie noch viel lernen und es ist eine gute Erfahrung",3,0.0,0.0,0
9433,2791,62cda55afbcd3f0021e8dfb0,"Setzen Sie in die Arbeit, finden Sie eine faire Prüfung & verdienen eine gute Note",4,0.0,0.0,0
3608,3608,5d295556041f0f001c839575,Einfach spannend !,5,0.0,1.0,0
846,846,5a9d1b96dd31f6001a0b8901,"Sehr lehrreich, aber auch EXTREM aufwendig.",3,6.0,2.0,2
8119,1477,5e3441b6b8e9f4002282f35d,"Guter Kurs, faire Prüfung.",5,0.0,0.0,0
6271,6271,62911e254107230021843800,"guter Dozent und TA‘s! Wenig Präsenzzeit, man muss aber „recht viel“ Zeit für die 4 Berichte und Präsentationen investieren. Aber man lernt sehr viel und es herrscht eine sehr coole Atmosphäre 😄",5,0.0,0.0,0
5950,5950,61e97f33c14d6f0021b25d93,"Faire Prüfung. Fast nur offene Frage,. ",4,0.0,0.0,0
7079,437,5b718c6c9e8b60001a953a32,"Das Seminar mit Morgane war großartig!Vortrag weniger toll, um ehrlich zu sein",4,5.0,0.0,2
2543,2543,5c64b286f56892001cbde8c5,"Schlechte Vorlesungen und Skript, sehr viel gelernt und trotzdem nicht bestanden ",1,1.0,0.0,1
3095,3095,5d03dad797cd24001cfbe1e4,Prüfung war absolut nicht angemessen für 1 Semester Analysis,1,10.0,2.0,2
4843,4843,5f03f07119c9e50022f074b8,Interessante Möglichkeit zur Diskussion von Literatur aus div. Bereichen und zum Üben wissenschaftlichen Schreibens.,5,0.0,0.0,0
1582,1582,5baa18a89432d400197b83e1,nach der ersten Stunde rausgelaufen,1,3.0,0.0,2
7511,869,5c7303d29dee23001cb84b01,Schäm dich!,1,0.0,0.0,0
4956,4956,5f6b216231946d002212303e,"Slapin ist einer der besten Professoren am IPZ. Durch seine eloquente und didaktische Herangehensweise, erleichtert er jedem Studenten das Lernen",5,0.0,0.0,0
2859,2859,5ce513fa170b12001cbd2b0b,"Sehr unübersichtliche Vorlesung. Nimmt jegliche Freude und Interesse am Thema. Prüfung war irgendetwas, Darstellung katastrophal (500 verschiedene type sizes und type families verwendet). Es ist lächerlich über verschiedene Darstellungsmethoden und Gestalt Laws etc zu referieren, wenn man selber offenbar keine Ahnung hat. Sehr subjektives Fach. Pseudowissenschaft.",1,4.0,0.0,2
1786,1786,5c1cf7915492c9001b88e903,"Bone lab und heart valve lab waren interessant, wenn auch nicht sehr lehrreich. Nette supervisoren! Letzter Teil in Balgrist allerdings Katastrophe! Schlechtester Dozent ever! Wirkt dauernd gehetzt und in seiner eigenen Welt. Bringt keine kompletten Sätze zustande und verhaspelt sich. Geht nicht auf Fragen ein, redet dauernd darüber wie trainiert er selber sei. Ist unfreundlich zu den Mitarbeitern. Kommt chronisch zu spät (bis 45 min). Sozialkompetenz = 0. Hat dauernd technische Probleme mit dem Laptop, hat Mühe bei der Bedienung von Powerpoint.  Viel zu viel Stoff als dass man etwas mitnehmen könnte. Prüfung war aber fair. Im letzen Teil praktisch nichts gelernt, Blockkurs sonst nicht schlecht. ",2,0.0,0.0,0
9426,2784,62c915260acf750021cffd72,"Interessanter Kurs, bs Prüfung.",4,0.0,0.0,0
3170,3170,5d0a665dc4518e001c911e2b,"Interessantes Fach und gute VL. Die Behauptung des Dozenten, dass keine Fakten, sondern Verständnis seien an der Prüfung gefragt ist eine ziemliche Lüge. Bestehen ist relativ leicht, eine bessere Note nicht. ",3,4.0,0.0,2
6803,161,5a6a630a1053f0001a854bc1,Mit einigen Vorkenntnissen über Stochastik möglich. Sie müssen sich nicht um R sorgen... nur in voluntarischen Übungen verwendet. Das Buch zum Vortrag dringend empfohlen,5,1.0,0.0,1
4780,4780,5ef356eeec2367002229d5e9,"Die Unterlagen von Lehner sind vorbildlich, Notizen muss man sehr wenige machen und kann ihm meist einfach zuhören, er spricht leicht verständlich. Grossniklaus‘ Unterlagen sind nicht ganz so gut, dafür erklärt er in der Vorlesung die Inhalte ebenfalls sehr verständlich, sodass man leicht gute Notizen erstellen kann (vor allem, wenn man den Podcast schaut). Finde auch gut, dass Grossniklaus oft Fragen ans Publikum stellte. Das Thema der Vorlesung fand ich sehr spannend und durch den von den Dozenten in der Vorlesung gewählte Fokus auf die relevanten Konzepte gut aufbereitet (für die Prüfung sind aber nicht nur die Konzepte sehr wichtig!). Die Prüfung finde ich für ein 3-ECTS-Fach ein wenig übertrieben, vor allem die Kprim-Fragen von Lehner sind nicht ohne (die vorgestellten Gene und ihre relevanten Funktion(en) würde ich mir gut merken!) und gerade Zeit zum Verschwenden hat man nicht😅: wegen der Prüfung: minus ein Stern",4,0.0,0.0,0
7147,505,5bd6c2d2717e340019b4d410,"Der schlimmste Weg, den es je gab.",1,6.0,0.0,2
7860,1218,5d7636dbb9dc6f001ca2fb52,"Interessante, aber unglaubliche Arbeitsbelastung und sehr schlecht organisiert.",2,0.0,0.0,0
9090,2448,61f526bc3a49df0021b0a7b1,"Das Finale ist über eine Menge Mathematik mit konkreten Zahlen. Ich glaube nicht, dass sie verwirrend sind, wenn Sie die Theorie dahinter kennen. Aber unter Berücksichtigung der Frist, in der Tat ist es eine Herausforderung. Der Kursinhalt ist gut. Sie können wirklich in ml bekommen.",5,0.0,0.0,0
3642,3642,5d3ccb5ba7ab6a001c01d6bf,"Das Fach war gut strukturiert und die Inhalte wichtig fürs weitere Studium (insbesondere wenn man sich für Forschung interessiert). Das Tutorat und die angegebene Literatur waren weder hilfreich noch notwendig, die Übungsblätter aus dem Tutorat sind jedoch eine super Prüfungsvorbereitung! ",4,0.0,0.0,0
3071,3071,5d02afb7452355001c7e36de,"Spannende Vorlesungen, klare Lernziele, Essay-Prüfung mit wenig Fragen",4,0.0,0.0,0
7250,608,5c28a31ae42cee001cd0040b,"Natürlich sind es noch mehr Arbeitsstunden, aber es ist interessant und hilft viel für den virologischen Teil von Bio132 (Mikrobiologie/Immunologie/Virologie). Darüber hinaus ist es eine gute Praxis, eine Präsentation in Englisch vor Gleichaltrigen zu halten.",5,0.0,0.0,0
43,43,5a5ef42cbe6796001a9d8080,"chillig, nor de letzti bricht werd hässig bewärtet (50% vode Note) aber söscht löcki zom bestoh well met bez ufwand hetme en 5 bes 5.5 Vornote vom Lab.",5,1.0,0.0,1
3405,3405,5d171ab3996aef001ce00c3a,"Vorlesungen waren interessant (viel besser als BWL 1!) HRM einfach Folien auswendig lernen (ins Detail, z.B wortwörtliche Definition von Persönlichkeit) Reader lesen braucht es nicht (wichtige Sachen aus dem Reader sind in den Folien, diese aber genau lernen).Organisation Skript lesen nützlich, jedoch die wichtigen Sachen sind auf den Uniseminar Karteikarten (würde diese mit Infos aus dem Skript ergänzen) und einfach mit diesen lernen. Folien alleine reichen in Organisation nicht. Vorlesungsbesuch jedoch in Organisation unnötig. Strategie scheint in der VL sehr einfach jedoch in der Prüfung sehr schwer. Mit Uniseminar Karten die Vorlesungsfolien lernen, jedoch sind die Übungen wichtiger in der Prüfung.   Organisation& HRM Teil waren somit in der Prüfung einfach zu lösen, Strategie war Lotterie ",4,5.0,0.0,2
5759,5759,61431ae8b0c7570023b3a1e3,"Riesiger Pain bei Prof. Dignös, Modul gibt Depressionen, viel zu viel Arbeit, Prüfungsschnitt unter der 4, nicht wählen falls irgendwie möglich, sonst auf die 4 hoffen und Leben für ein Semester opfern.",1,0.0,0.0,0
